timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_lpx,landing_pad_lpy,landing_pad_lpz,landing_pad_lpvx,landing_pad_lpvy,landing_pad_lpvz,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz
240.36,1.2187105491445749e-11,4.543498841047544e-10,0.05,0.0,-0.01,-0.24,0.06883986393478925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.59008654427715,-2.5257627042700905,0.0,-0.5494085242697848,-2.949226174332895,0.0
240.391,1.2187105491445749e-11,4.543498841047544e-10,0.055,0.0,-0.01,-0.26,0.06887348095444235,-0.0017832598442963598,-0.0013962083689877532,0.0016921115277971225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.614474341094541,-2.643306831884655,0.0,-0.5001907552833683,-2.9579712395062376,0.0
240.42,-4.739364456440853e-11,-1.1497268415094908e-11,0.067,0.0,-0.01,-0.3,0.06877668301132696,-0.0017971527569301225,-0.006118843333224845,-0.006122208682394835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6259329045122892,-2.7022272060489385,0.0,-0.47552893384999717,-2.962035921007856,0.0
240.451,3.7038795294708216e-10,3.652230184947314e-10,0.073,0.0,-0.01,-0.31,0.06885035435226947,-0.0015444497494169573,-0.007793081234983996,0.00191155886813861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6473753843954744,-2.820344125356607,0.0,-0.4261079805703726,-2.969548196259296,0.0
240.48,-1.1509716790758517e-11,2.5872808062654684e-10,0.086,0.0,-0.01,-0.35,0.06883807579544579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6573578124144395,-2.879532471321867,0.0,-0.401352279733103,-2.972995273666991,0.0
240.511,-5.314849949034084e-11,3.077399376993917e-10,0.101,0.0,-0.01,-0.39,0.06881041924027001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6758415799650686,-2.9981483931342927,0.0,-0.3517590150930286,-2.979270064989975,0.0
240.54,-1.1272924954619512e-10,-1.5810720788156374e-10,0.11,0.0,-0.01,-0.41,0.06878908077744068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.684341636431576,-3.0575677351646684,0.0,-0.3269248965655055,-2.9820973650328133,0.0
240.57,-1.1272924954619512e-10,-1.5810720788156374e-10,0.118,0.0,-0.01,-0.43,0.06884093681839483,-0.0019112449747827494,-0.010058702427399677,0.0013703473152189348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6998551445976715,-3.1766085585600696,0.0,-0.27719030126949457,-2.98713074811863,0.0
240.6,6.773887006872314e-13,7.130779577924073e-10,0.136,0.0,-0.01,-0.47,0.06885548035172008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.706867519414982,-3.2362217766134402,0.0,-0.2522932756934289,-2.989336463624181,0.0
240.631,-1.1848411141102133e-10,-2.1861633336950348e-10,0.155,0.0,-0.01,-0.5,0.0687657157566884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7194010767045733,-3.355613135228471,0.0,-0.20244841989391008,-2.993125290642254,0.0
