timestamp,quad_x,quad_y,quad_z,quad_vx,quad_vy,quad_vz,quad_yaw,quad_omgx,quad_omgy,quad_omgz,landing_pad_x,landing_pad_y,landing_pad_z,landing_pad_vx,landing_pad_vy,landing_pad_vz,landing_pad_yaw,landing_pad_lpx,landing_pad_lpy,landing_pad_lpz,landing_pad_lpvx,landing_pad_lpvy,landing_pad_lpvz,landing_pad_true_x,landing_pad_true_y,landing_pad_true_z,landing_pad_true_vx,landing_pad_true_vy,landing_pad_true_vz
258.87,-7.989360019141863,-3.373120593009343,1.03,2.05,-0.42,0.16,0.0012194673207143313,0.0,0.0,0.0,-7.86458020985704,-3.238455367028333,0.2533646507728438,2.047216412984872,-0.4340340106613186,0.0,0.4372358427105057,-7.924290465881984,-3.2259431405608607,0.2519025333754472,2.0396013986898245,-0.4600190920813359,0.0,-7.443646594400308,-3.2998511672949733,0.0,1.989472461530921,-0.20461710636146113,0.0
258.9,-7.9439142623460235,-3.38421632623714,1.027,2.06,-0.4,0.16,0.0011930028584340774,0.072437722045067,-0.2101784948264218,-0.002219049133440825,-7.802978226154541,-3.252816871487736,0.25332435843062356,2.060294991137418,-0.416895876686239,0.0,0.43718264911900134,-7.86458020985704,-3.238455367028333,0.2533646507728438,2.047216412984872,-0.4340340106613186,0.0,-7.403994757112501,-3.305344285815518,0.0,1.9911081845309206,-0.18803463631701003,0.0
258.93,-7.862111931866517,-3.395312034311297,1.02,2.07,-0.36,0.16,0.0012718001988271457,0.09669997231893189,-0.10346713715511824,0.0008282236276643722,-7.734854644008379,-3.265078836270817,0.25436642306612645,2.094272785681559,-0.39457207478173256,0.0,0.4659693975620215,-7.802978226154541,-3.252816871487736,0.25332435843062356,2.060294991137418,-0.416895876686239,0.0,-7.324560668374819,-3.315338510006394,0.0,1.9939648954617448,-0.15483169153587803,0.0
258.96,-7.816666176102926,-3.406407769445443,1.017,2.07,-0.35,0.16,0.0013471404698232336,0.06340982256550248,-0.10266521738972852,0.002673772523040868,-7.67132340828454,-3.276564850891505,0.2551048554774454,2.1099306928707207,-0.37189863877902823,0.0,0.4682830142574143,-7.734854644008379,-3.265078836270817,0.25436642306612645,2.094272785681559,-0.39457207478173256,0.0,-7.284783930901944,-3.319838921920137,0.0,1.9951856843440359,-0.13821352135865375,0.0
258.991,-7.734863846178304,-3.41750347858338,1.011,2.07,-0.31,0.16,0.0014293948796131556,0.1492977148218786,-0.07431943306607054,0.00022148359438539135,-7.619381885691562,-3.2854780001692054,0.2558007903881418,2.0846951023458957,-0.34277927939891056,0.0,0.41420366982197976,-7.67132340828454,-3.276564850891505,0.2551048554774454,2.1099306928707207,-0.37189863877902823,0.0,-7.205124875217154,-3.3278447834085347,0.0,1.9972116546562364,-0.10494955008083053,0.0
259.02,-7.698507238051936,-3.428599222232413,1.008,2.08,-0.3,0.16,0.001471833386693316,0.08511485032182409,-0.07655990012719328,0.0025370317370436153,-7.565908616728273,-3.2950842228220365,0.2552947700164906,2.065739067115203,-0.31874155753453404,0.0,0.37103367896518297,-7.619381885691562,-3.2854780001692054,0.2558007903881418,2.0846951023458957,-0.34277927939891056,0.0,6.44026685325094,8.328609322371614,0.0,1.0999214215833197,1.6703810542449073,0.0
259.05,-7.607615761599861,-3.4396949253627715,1.001,2.08,-0.27,0.16,0.0013534585621696887,0.0,0.0,0.0,-7.51236322410012,-3.306323116457137,0.2539235963715884,2.047758108820641,-0.30265363294039205,0.0,0.33100472325526614,-7.565908616728273,-3.2950842228220365,0.2552947700164906,2.065739067115203,-0.31874155753453404,0.0,-7.085413828002812,-3.3373621746716107,0.0,1.9992107710643987,-0.05500184711423173,0.0
259.08,-7.571259162468177,-3.439694888703998,0.998,2.08,-0.25,0.16,0.0013892213490344363,0.09102231752129693,0.058019771204805615,-0.0003558015507988434,-7.4554373471111255,-3.313532204168229,0.25506728491521485,2.0419152699618084,-0.27479040646168595,0.0,0.3093105358878695,-7.51236322410012,-3.306323116457137,0.2539235963715884,2.047758108820641,-0.30265363294039205,0.0,-7.045461899780881,-3.339869360889139,0.0,1.9995996067827966,-0.03834343448937523,0.0
259.11,-7.489456834930367,-3.450790598637056,0.992,2.09,-0.22,0.16,0.001286582150731723,0.0,0.0,0.0,-7.400028032586605,-3.3249534574227,0.25352257842589,2.030905304406412,-0.26385807607360295,0.0,0.2813943847914132,-7.4554373471111255,-3.313532204168229,0.25506728491521485,2.0419152699618084,-0.27479040646168595,0.0,-6.965502311762024,-3.343884738158941,0.0,1.9999608968560074,-0.005019782282361843,0.0
259.14,-7.444011087994189,-3.450790556163906,0.989,2.09,-0.21,0.16,0.001277164616856906,0.05368883816779307,-0.12159233668304754,-0.0010657152509984565,-7.341062647110805,-3.3313202548409673,0.2539684177465779,2.0322629603411224,-0.23735056569375867,0.0,0.2716393756013125,-7.400028032586605,-3.3249534574227,0.25352257842589,2.030905304406412,-0.26385807607360295,0.0,-6.925500202420068,-3.345392650481854,0.0,1.9999333198684845,0.01164314484426326,0.0
259.171,-7.362208761888466,-3.4618862686246654,0.982,2.09,-0.18,0.16,0.001417950787816118,0.0,0.0,0.0,-7.279903256646907,-3.337889225449384,0.25486362919661404,2.040647164630394,-0.21406798838609215,0.0,0.2719630844154672,-7.341062647110805,-3.3313202548409673,0.2539684177465779,2.0322629603411224,-0.23735056569375867,0.0,-6.845465236760684,-3.3474083991430574,0.0,1.9994616611413538,0.044965417809518585,0.0
